"","square_meters","bathrooms_number","lift","rooms_number","other_features","availability","condominium_fees","year_of_construction","conditions","floor","heating_centralized","selling_price","binary_car_parking","Macro_zone","score_feature"
"1258",110,"2","yes","3","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / pvcdouble exposure","unknown",273,1920,"excellent / refurbished",1,"central",940000,"no","Centro_Storico",11.152
"1259",105,"2","yes","4","electric gate | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","unknown",67,1980,"good condition / liveable",4,"central",263000,"yes","Esterno",7.34
"1260",135,"2","yes","4","tennis court | electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood","unknown",151,1970,"good condition / liveable",7,"central",395000,"yes","Esterno",14.077
"1261",75,"1","yes","2","optic fiber | security door | internal exposure | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","available",85,1965,"excellent / refurbished",3,"central",279000,"yes","Esterno",7.901
"1263",73,"1","yes","2","electric gate | optic fiber | security door | external exposure | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood","available",71,1967,"excellent / refurbished",4,"central",329000,"yes","Esterno",10.035
"1264",160,"3+","yes","5","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",176,1970,"excellent / refurbished",1,"central",795000,"no","Esterno",11.616
"1265",60,"2","yes","2","fireplace | optic fiber | video entryphone | security door | closet | centralized tv system | partially furnished | window frames in glass / metal | double exposure","available",3,1930,"excellent / refurbished",0,"independent",249000,"no","Esterno",13.548
"1267",41,"1","yes","2","electric gate | optic fiber | security door | external exposure | balcony | half-day concierge | centralized tv system | only kitchen furnished | shared garden | window frames in triple glass / pvc","available",309,1930,"excellent / refurbished",2,"independent",360000,"no","Circonvalla",14.899
"1268",115,"1","yes","3","optic fiber | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure","available",136,1950,"excellent / refurbished",6,"central",1500000,"no","Centro_Storico",8.328
"1269",51,"1","yes","2","security door | balcony | full day concierge | furnished | cellar | shared garden | window frames in double glass / pvc","unknown",54,1960,"good condition / liveable",9,"central",268000,"no","Esterno",6.326
"1271",169,"2","yes","4","external exposure | balcony | cellar | window frames in glass / pvc","available",332,1965,"to be refurbished",2,"central",910000,"yes","Esterno",7.1
"1272",65,"1","yes","2","balcony | shared garden | window frames in double glass / wood","available",69,1900,"good condition / liveable",2,"independent",550000,"no","Circonvalla",3.156
"1273",125,"2","yes","3","electric gate | optic fiber | alarm system | security door | closet | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","available",177,1974,"good condition / liveable",1,"central",640000,"yes","Esterno",10.657
"1275",100,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | cellar | shared garden | window frames in glass / metal | double exposure","unknown",145,1950,"to be refurbished",1,"central",435000,"no","Circonvalla",12.448
"1276",65,"1","yes","2","balcony | only kitchen furnished | double exposure","unknown",71,2010,"excellent / refurbished",2,"independent",499000,"no","Circonvalla",5.889
"1277",110,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | single tv system | cellar | window frames in double glass / wood | double exposure","unknown",89,1960,"good condition / liveable",8,"independent",480000,"no","Circonvalla",8.947
"1278",100,"2","yes","3","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in triple glass / pvc","available",129,1950,"excellent / refurbished",0.5,"problem",675000,"no","Circonvalla",12.18
"1279",82,"1","yes","3","optic fiber | security door | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",114,1957,"good condition / liveable",1,"central",239000,"no","Esterno",7.984
"1280",50,"1","no","2","optic fiber | security door | internal exposure | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",3,1930,"excellent / refurbished",0.5,"central",310000,"no","Esterno",5.757
"1281",115,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",129,1970,"excellent / refurbished",1,"central",520000,"no","Esterno",12.861
"1282",50,"1","no","2","optic fiber | external exposure | balcony | centralized tv system | window frames in glass / wood","unknown",69,1960,"good condition / liveable",3,"central",144000,"no","Centro_Storico",5.312
"1283",84,"1","yes","2","tavern | full day concierge | window frames in triple glass / pvc","available",30,1966,"excellent / refurbished",0,"central",275000,"yes","Esterno",8.596
"1284",81,"1","yes","3","optic fiber | security door | balcony | terrace | half-day concierge | single tv system | cellar | window frames in glass / wood | double exposure","available",79,1940,"good condition / liveable",3,"central",520000,"no","Circonvalla",11.396
"1286",91,"1","no","3","optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","available",89,1960,"good condition / liveable",1,"central",260000,"yes","Esterno",5.953
"1287",42,"1","yes","1","reception | alarm system | terrace | cellar | shared garden | window frames in triple glass / pvcexposure south, west","available",309,2023,"new / under construction",1,"independent",280000,"no","Esterno",18.273
"1288",85,"1","no","2","hydromassage | security door | partially furnished | shared garden | window frames in triple glass / pvc","unknown",3,1976,"excellent / refurbished",3,"independent",310000,"no","Esterno",10.391
"1289",134,"2","yes","3","security door | balcony | full day concierge | partially furnished | cellar | shared garden | window frames in double glass / wood","available",177,1930,"to be refurbished",7,"central",760000,"no","Esterno",6.676
"1291",65,"1","yes","2","optic fiber | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | shared garden | window frames in double glass / pvc","available",48,1965,"good condition / liveable",8,"central",235000,"no","Esterno",8.928
"1292",50,"1","no","1","security door | internal exposure | centralized tv system | only kitchen furnished | window frames in glass / wood","available",3,1930,"good condition / liveable",2,"independent",510000,"no","Centro_Storico",8.411
"1294",93,"2","yes","3","video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","available",54,2012,"excellent / refurbished",2,"central",350000,"yes","Esterno",9.337
"1295",207,"3+","no","5+","electric gate | tavern | optic fiber | video entryphone | alarm system | security door | balcony | terrace | single tv system | partially furnished | cellar | private garden | window frames in double glass / pvcdouble exposure","available",3,2005,"good condition / liveable",0,"independent",840000,"no","Esterno",19.075
"1296",175,"2","no","5+","security door | internal exposure | closet | centralized tv system | shared garden | window frames in double glass / pvc","available",157,1970,"good condition / liveable",-0.5,"central",280000,"no","Esterno",6.028
"1297",110,"1","yes","3","electric gate | optic fiber | alarm system | security door | balcony | centralized tv system | double exposure","unknown",54,1990,"good condition / liveable",1,"central",325000,"no","Esterno",5.109
"1298",126,"1","yes","3","optic fiber | alarm system | security door | external exposure | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",89,1945,"good condition / liveable",0.5,"central",1100000,"no","Circonvalla",7.547
"1299",52,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",54,1960,"excellent / refurbished",4,"central",325000,"no","Esterno",9.348
"1300",45,"1","yes","2","electric gate | optic fiber | security door | external exposure | single tv system | partially furnished | window frames in double glass / pvc","available",309,1920,"good condition / liveable",0.5,"independent",180000,"no","Esterno",9.38
"1302",50,"1","no","2","optic fiber | security door | internal exposure | single tv system | private garden | window frames in double glass / pvc","available",332,1960,"new / under construction",0,"independent",238000,"no","Esterno",9.439
"1303",65,"1","yes","2","electric gate | tavern | optic fiber | video entryphone | security door | closet | centralized tv system | partially furnished | shared garden | window frames in double glass / pvcdouble exposure","available",309,1960,"excellent / refurbished",0,"independent",320000,"no","Esterno",11.93
"1304",35,"1","yes","1","electric gate | optic fiber | security door | external exposure | closet | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / metal","not available yet",3,1960,"excellent / refurbished",3,"central",320000,"no","Circonvalla",11.01
"1305",270,"3+","yes","5","video entryphone | alarm system | terrace | single tv system | partially furnished | cellar","available",165,1930,"excellent / refurbished",3,"independent",2590000,"yes","Circonvalla",8.782
"1306",90,"1","yes","2","closet | balcony | cellar","available",323,1965,"excellent / refurbished",1,"problem",295000,"no","Esterno",2.426
"1307",61,"1","no","2","security door | internal exposure | single tv system | shared garden | window frames in double glass / pvc","available",3,1960,"excellent / refurbished",-0.5,"independent",265000,"no","Esterno",6.982
"1308",97,"1","yes","3","electric gate | fireplace | optic fiber | video entryphone | security door | centralized tv system | private garden | window frames in glass / wood | double exposure","available",163,2023,"new / under construction",0,"independent",690000,"no","Circonvalla",12.425
"1309",71,"1","yes","2","electric gate | optic fiber | security door | internal exposure | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc","available",35,1960,"good condition / liveable",0.5,"central",255000,"no","Esterno",9.177
"1310",124,"1","yes","3","fireplace | security door | balcony | full day concierge | cellar | shared garden | window frames in double glass / pvc","available",147,1940,"good condition / liveable",4,"central",615000,"no","Esterno",8.327
"1311",60,"1","yes","2","optic fiber | security door | external exposure | closet | full day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","available",54,1960,"excellent / refurbished",0.5,"central",315000,"no","Circonvalla",9.162
"1312",80,"1","yes","3","optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","available",95,1960,"good condition / liveable",3,"central",450000,"no","Esterno",5.82
"1313",100,"1","yes","3","optic fiber | security door | closet | balcony | centralized tv system | partially furnished | window frames in glass / pvcdouble exposure","available",89,1965,"excellent / refurbished",5,"independent",345000,"no","Esterno",9.167
"1314",48,"1","yes","2","security door | balcony | centralized tv system | cellar | window frames in double glass / metal | double exposure","available",23,1960,"to be refurbished",3,"central",155000,"no","Esterno",4.922
"1315",129,"2","yes","4","electric gate | optic fiber | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure","unknown",160,1965,"to be refurbished",1,"central",295000,"yes","Esterno",11.078
"1316",88,"1","no","3","security door | closet | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",129,1952,"good condition / liveable",1,"central",620000,"no","Centro_Storico",5.151
"1317",170,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","unknown",221,1970,"excellent / refurbished",6,"central",990000,"yes","Circonvalla",12.899
"1318",100,"1","no","3","security door | terrace | shared garden | window frames in double glass / pvc","unknown",67,1954,"good condition / liveable",0,"central",290000,"no","Esterno",4.277
"1319",140,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | cellar | window frames in double glass / wood | double exposure","available",157,1925,"excellent / refurbished",3,"central",775000,"no","Circonvalla",9.537
"1320",140,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","available",332,2023,"new / under construction",5,"central",760000,"yes","Esterno",11.993
"1321",76,"1","no","3","security door | external exposure | balcony | centralized tv system | cellar | window frames in glass / wood","unknown",63,1930,"to be refurbished",2,"independent",245000,"no","Esterno",5.65
"1322",75,"1","yes","2","security door | balcony | cellar","available",332,1977,"new / under construction",5,"central",515000,"no","Esterno",1.251
"1324",120,"1","yes","4","kitchen | terrace | cellar | window frames in double glass / metal | exposure east, west","unknown",54,1925,"good condition / liveable",3,"independent",750000,"no","Circonvalla",13.68
"1326",48,"1","no","2","furnished | double exposure","available",295,1961,"excellent / refurbished",-0.5,"independent",175000,"no","Esterno",2.856
"1327",119,"2","yes","4","electric gate | video entryphone | alarm system | security door | full day concierge | centralized tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","available",332,2025,"new / under construction",0,"independent",508000,"no","Esterno",9.847
"1328",60,"1","yes","2","video entryphone | security door | external exposure | furnished","unknown",30,1930,"good condition / liveable",0.5,"central",330000,"no","Circonvalla",4.262
"1329",275,"3+","yes","5+","optic fiber | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","available",258,1936,"excellent / refurbished",2,"central",1897500,"yes","Centro_Storico",12.645
"1330",91,"2","no","2","optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","unknown",67,1890,"good condition / liveable",1,"independent",595000,"no","Centro_Storico",6.944
"1331",60,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","available",3,2024,"new / under construction",4,"central",324000,"yes","Esterno",9.472
"1332",51,"1","yes","2","optic fiber | video entryphone | alarm system | security door | internal exposure | centralized tv system | partially furnished | private garden | window frames in double glass / pvc","available",242,1960,"excellent / refurbished",0,"independent",215000,"no","Esterno",11.152
"1333",75,"1","yes","2","optic fiber | video entryphone | security door | balcony | half-day concierge | single tv system | partially furnished | cellar | window frames in glass / wood | double exposure","available",206,1961,"excellent / refurbished",2,"central",359000,"no","Esterno",12.354
"1334",40,"1","yes","1","optic fiber | video entryphone | security door | balcony | furnished | shared garden | window frames in double glass / pvc","unknown",36,1920,"excellent / refurbished",4,"central",285000,"no","Circonvalla",5.899
"1335",75,"1","yes","2","balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","available",3,1900,"good condition / liveable",5,"independent",450000,"no","Circonvalla",5.94
"1336",95,"1","yes","3","balcony | full day concierge | shared garden","unknown",95,1980,"good condition / liveable",1,"central",330000,"yes","Esterno",2.338
"1337",60,"1","yes","3","electric gate | optic fiber | security door | external exposure | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc","available",89,1577,"to be refurbished",0,"independent",510000,"yes","Centro_Storico",7.091
"1338",115,"1","yes","3","electric gate | optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","unknown",129,1970,"good condition / liveable",2,"central",440000,"yes","Esterno",5.464
"1339",80,"1","yes","3","electric gate | optic fiber | security door | external exposure | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",54,1950,"excellent / refurbished",2,"central",489000,"no","Esterno",10.68
"1340",53,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc","available",54,2024,"new / under construction",8,"central",299000,"no","Esterno",7.23
"1341",124,"2","yes","3","video entryphone | security door | internal exposure | terrace | centralized tv system | window frames in triple glass / pvc","available",3,2023,"new / under construction",2,"independent",550000,"no","Esterno",8.304
"1342",65,"1","no","3","electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | cellar | window frames in double glass / metal","available",102,1960,"good condition / liveable",3,"central",270000,"no","Esterno",5.988
"1343",50,"1","yes","2","electric gate | optic fiber | security door | external exposure | closet | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",252,1930,"good condition / liveable",5,"independent",420000,"no","Circonvalla",9.552
"1344",60,"1","no","2","electric gate | tavern | optic fiber | video entryphone | alarm system | security door | closet | balcony | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",3,2023,"new / under construction",0.5,"independent",285000,"no","Esterno",15.065
"1345",70,"1","yes","2","electric gate | optic fiber | security door | balcony | centralized tv system | cellar | window frames in double glass / pvcdouble exposure","available",85,1967,"good condition / liveable",3,"central",199000,"yes","Esterno",4.63
"1346",50,"1","no","2","centralized tv system | window frames in glass / pvcdouble exposure","available",272,1930,"good condition / liveable",4,"independent",164000,"no","Esterno",4.895
"1347",190,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure","available",243,1960,"excellent / refurbished",4,"central",1200000,"no","Esterno",10.235
"1348",112,"2","yes","4","balcony | cellar | window frames in double glass / metal | double exposure","available",185,1960,"to be refurbished",2,"central",539000,"no","Esterno",4.386
"1349",50,"1","yes","2","video entryphone | security door | internal exposure | balcony | single tv system","available",89,1974,"good condition / liveable",5,"central",238000,"yes","Esterno",5.655
"1351",140,"2","yes","4","electric gate | optic fiber | security door | external exposure | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc","unknown",243,1960,"good condition / liveable",8,"central",739000,"no","Circonvalla",10.512
"1352",125,"1","yes","3","security door | balcony | cellar","available",332,1977,"new / under construction",8,"central",898000,"no","Circonvalla",1.251
"1353",46,"1","no","2","external exposure | balcony | window frames in double glass / wood","available",315,1960,"to be refurbished",4,"central",155000,"no","Esterno",4.143
"1354",60,"1","yes","2","video entryphone | security door | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc","available",69,1960,"excellent / refurbished",0.5,"central",269000,"no","Esterno",5.866
"1355",137,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",76,2026,"new / under construction",7,"central",671000,"yes","Esterno",9.73
"1357",266,"2","yes","5","alarm system | balcony | terrace | single tv system","available",243,2008,"excellent / refurbished",2,"central",1150000,"yes","Esterno",6.258
"1358",64,"1","yes","2","optic fiber | video entryphone | external exposure | full day concierge | centralized tv system | furnished | cellar | private garden | window frames in double glass / pvc","available",89,1920,"excellent / refurbished",0.5,"central",335000,"no","Circonvalla",10.938
"1359",75,"1","yes","2","security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","available",109,1960,"to be refurbished",2,"central",595000,"no","Circonvalla",6.137
"1360",73,"1","yes","3","video entryphone | alarm system | security door | full day concierge | only kitchen furnished | cellar | shared garden | window frames in double glass / metal","available",95,1973,"excellent / refurbished",0,"central",690000,"no","Centro_Storico",10.889
"1361",88,"1","no","3","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",100,1965,"good condition / liveable",2,"central",319000,"no","Esterno",8.152
"1362",200,"2","yes","5","optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","unknown",243,1935,"new / under construction",4,"central",890000,"no","Circonvalla",9.355
"1363",60,"1","no","2","optic fiber | balcony | cellar | window frames in glass / metal | double exposure","available",69,1960,"good condition / liveable",0.5,"central",189000,"no","Esterno",6.66
"1365",82,"1","yes","2","security door | centralized tv system","available",3,1930,"excellent / refurbished",3,"independent",395000,"no","Esterno",0.536
"1366",105,"2","yes","3","security door | balcony | cellar","available",332,1968,"new / under construction",2,"central",612000,"no","Circonvalla",1.251
"1367",225,"2","no","5+","attic | video entryphone | security door | closet | single tv system | private garden | window frames in double glass / wood | double exposure","available",332,1900,"good condition / liveable",2,"independent",1150000,"no","Circonvalla",14.179
"1368",55,"1","yes","2","optic fiber | security door | external exposure | closet | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc","available",24,1960,"good condition / liveable",4,"central",149000,"no","Esterno",7.886
"1369",70,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | centralized tv system | shared garden | window frames in double glass / pvc","available",97,1967,"excellent / refurbished",0.5,"central",435000,"no","Esterno",7.072
"1370",50,"1","no","2","electric gate | fireplace | optic fiber | video entryphone | security door | internal exposure | closet | centralized tv system | cellar | shared garden | window frames in double glass / pvc","available",242,1970,"excellent / refurbished",0,"central",196000,"yes","Esterno",12.014
"1371",22,"1","no","1","security door | external exposure | centralized tv system | cellar","available",3,1952,"good condition / liveable",3,"independent",135000,"no","Circonvalla",2.899
"1372",45,"1","no","2","electric gate | optic fiber | security door | external exposure | balcony | centralized tv system | cellar | window frames in double glass / metal","available",3,1960,"excellent / refurbished",1,"independent",250000,"no","Esterno",6.625
"1373",101,"2","yes","4","electric gate | optic fiber | video entryphone | alarm system | security door | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in triple glass / wood | double exposure","available",89,2023,"new / under construction",2,"central",480000,"no","Esterno",13.567
"1375",76,"1","no","3","terrace | partially furnished | window frames in double glass / wood | exposure north, south","unknown",35,1927,"excellent / refurbished",3,"independent",420000,"no","Esterno",11.484
"1376",60,"1","no","2","optic fiber | security door | internal exposure | balcony | centralized tv system | furnished | shared garden | window frames in double glass / pvc","available",272,1950,"excellent / refurbished",1,"central",320000,"no","Esterno",7.109
"1377",57,"1","no","2","optic fiber | security door | balcony | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc","unknown",89,1960,"excellent / refurbished",3,"central",205000,"no","Esterno",7.52
"1378",90,"1","no","3","optic fiber | alarm system | security door | half-day concierge | centralized tv system | window frames in double glass / wood | double exposure","available",66,1950,"good condition / liveable",0.5,"independent",550000,"no","Circonvalla",7.596
"1379",131,"2","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc","available",129,1900,"excellent / refurbished",1,"central",550000,"no","Circonvalla",10.974
"1380",43,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | closet | half-day concierge | single tv system | furnished | shared garden | window frames in glass / pvc","available",242,1905,"excellent / refurbished",1,"independent",285000,"no","Esterno",15.501
"1381",55,"1","no","2","electric gate | internal exposure | centralized tv system | window frames in glass / wood","available",302,1930,"to be refurbished",1,"independent",149000,"no","Esterno",4.951
"1382",111,"2","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | full day concierge | centralized tv system | furnished | shared garden | window frames in triple glass / wood","available",129,1953,"new / under construction",3,"central",1070000,"no","Circonvalla",13.853
"1383",80,"1","yes","3","optic fiber | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in glass / wood","available",89,1960,"to be refurbished",8,"central",365000,"no","Esterno",5.514
"1384",160,"2","yes","5","electric gate | optic fiber | video entryphone | alarm system | security door | closet | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / metal | double exposure","available",243,1970,"good condition / liveable",6,"central",795000,"yes","Esterno",12.844
"1385",120,"2","yes","3","security door | balcony | full day concierge","available",198,1970,"excellent / refurbished",3,"central",1090000,"yes","Circonvalla",1.701
"1386",60,"1","no","1","electric gate | optic fiber | video entryphone | security door | full day concierge | shared garden","available",54,1950,"new / under construction",0,"central",228000,"no","Esterno",3.926
"1387",77,"1","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure","available",54,2023,"new / under construction",0.5,"central",495000,"no","Circonvalla",11.524
"1388",63,"1","yes","2","optic fiber | security door | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood","available",48,1960,"to be refurbished",3,"central",230000,"yes","Esterno",5.339
"1390",75,"1","yes","2","optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc","available",315,1920,"to be refurbished",1,"independent",6e+05,"no","Circonvalla",9.373
"1391",130,"1","yes","3","balcony","available",89,1925,"excellent / refurbished",2,"central",780000,"no","Circonvalla",0.512
"1392",64,"1","no","2","kitchen | furnished | shared garden","available",3,1956,"excellent / refurbished",-0.5,"central",240000,"no","Esterno",6.108
"1393",87,"1","yes","3","optic fiber | video entryphone | security door | external exposure | balcony | single tv system | window frames in double glass / wood","available",22,1900,"excellent / refurbished",3,"independent",390000,"no","Esterno",8.112
"1394",80,"1","yes","3","electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal","available",44,1950,"excellent / refurbished",0.5,"central",210000,"no","Esterno",11.994
"1395",71,"1","yes","3","hydromassage | electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood","available",100,1967,"excellent / refurbished",3,"central",330000,"no","Esterno",15.916
"1396",65,"1","yes","2","balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure","available",100,1930,"to be refurbished",4,"central",389000,"no","Esterno",5.023
"1397",89,"2","no","3","tavern | optic fiber | video entryphone | security door | closet | single tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","available",319,1940,"good condition / liveable",0,"independent",220000,"no","Esterno",14.266
"1398",163,"3","yes","5+","electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | cellar | double exposure","unknown",268,1965,"to be refurbished",5,"central",1170000,"yes","Centro_Storico",6.835
"1400",195,"3","no","5+","electric gate | attic | tavern | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","available",332,2022,"new / under construction",0,"independent",1285000,"yes","Esterno",18.664
"1401",56,"1","yes","2","optic fiber | video entryphone | security door | external exposure | balcony | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc","available",332,2026,"new / under construction",2,"central",258000,"no","Esterno",8.598
"1402",97,"2","no","3","optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure","available",44,1800,"excellent / refurbished",1,"independent",650000,"no","Circonvalla",10.096
"1403",140,"1","no","4","alarm system | kitchen | terrace | partially furnished | private and shared garden | window frames in double glass / pvcexposure north, east, west","available",257,1980,"good condition / liveable",2,"independent",470000,"yes","Esterno",23.321
"1404",30,"1","no","1","electric gate | optic fiber | security door | internal exposure | closet | single tv system | window frames in double glass / wood","available",272,1967,"good condition / liveable",0,"independent",125000,"no","Esterno",8.818
"1405",70,"1","yes","3","optic fiber | window frames in double glass / wood","available",262,1940,"excellent / refurbished",4,"independent",377000,"no","Esterno",2.212
"1406",130,"1","yes","4","security door | full day concierge | window frames in glass / wood","available",176,1960,"to be refurbished",0.5,"central",695000,"no","Centro_Storico",3.427
"1407",29,"1","no","1","electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | window frames in glass / wood","unknown",242,1930,"to be refurbished",0,"independent",93000,"no","Esterno",8.336
"1408",115,"2","yes","4","electric gate | optic fiber | video entryphone | security door | closet | terrace | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure","unknown",176,2008,"new / under construction",9,"central",490000,"no","Esterno",9.27
"1409",38,"1","yes","1","optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | cellar | window frames in glass / metal","available",54,2024,"new / under construction",1,"central",180000,"no","Esterno",8.405
"1410",48,"1","no","2","optic fiber | security door | balcony | terrace | centralized tv system | window frames in glass / wood | double exposure","available",3,1970,"good condition / liveable",3,"central",229000,"no","Esterno",6.542
"1411",117,"2","yes","3","fireplace | optic fiber | video entryphone | security door | balcony | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvcdouble exposure","unknown",89,1910,"excellent / refurbished",2,"independent",780000,"no","Centro_Storico",12.138
"1413",45,"1","no","2","half-day concierge | centralized tv system","unknown",35,1900,"to be refurbished",3,"independent",137000,"no","Esterno",2.326
"1414",104,"1","yes","2","security door | terrace | full day concierge | centralized tv system | window frames in double glass / pvcdouble exposure","available",174,1930,"excellent / refurbished",5,"central",940000,"no","Circonvalla",4.905
"1415",99,"1","yes","3","optic fiber | balcony | full day concierge | cellar | window frames in glass / pvcdouble exposure","available",185,1900,"good condition / liveable",2,"central",660000,"no","Circonvalla",7.004
"1416",90,"2","no","3","electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | cellar | private garden | window frames in double glass / pvc","available",3,2024,"new / under construction",0,"independent",407200,"yes","Esterno",9.157
"1417",75,"2","yes","3","security door | balcony | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","available",309,1950,"to be refurbished",2,"central",525000,"no","Esterno",6.591
